No.,Name,Price,1h%,24h%,7d%,Market Cap,Volume(24h),Circulating Supply
1,BitcoinBTC,"$63,005.19",0.44%,5.80%,9.31%,"$1.24T$1,244,741,484,418","$51,493,405,329817,288 BTC","19,756,175 BTC"
2,EthereumETH,"$2,428.67",0.28%,5.21%,4.34%,"$292.28B$292,277,965,068","$21,917,860,8859,024,650 ETH","120,345,066 ETH"
3,TetherUSDT,$1.00,0.03%,0.01%,0.02%,"$118.9B$118,902,031,034","$78,851,189,70578,844,270,957 USDT","118,891,598,050 USDT"
4,BNBBNB,$564.17,0.52%,4.20%,4.08%,"$82.33B$82,330,905,214","$1,955,922,6933,466,926 BNB","145,933,776 BNB"
5,SolanaSOL,$141.85,0.51%,10.99%,5.19%,"$66.45B$66,453,308,592","$3,233,001,52022,792,206 SOL","468,486,481 SOL"
6,USDCUSDC,$1.00,0.02%,0.01%,0.01%,"$35.46B$35,462,203,291","$8,713,230,3638,713,030,178 USDC","35,461,388,553 USDC"
7,XRPXRP,$0.5873,0.01%,3.30%,4.50%,"$33.12B$33,117,242,294","$1,359,700,9502,315,051,712 XRP","56,386,022,594 XRP"
8,DogecoinDOGE,$0.1048,0.33%,4.10%,3.27%,"$15.3B$15,297,914,585","$719,902,4886,871,647,683 DOGE","146,022,386,384 DOGE"
9,ToncoinTON,$5.75,0.37%,4.17%,5.30%,"$14.56B$14,562,944,344","$329,663,10757,330,688 TON","2,532,596,460 TON"
10,TRONTRX,$0.1513,0.21%,1.17%,0.77%,"$13.11B$13,112,550,481","$322,695,9202,133,108,028 TRX","86,677,534,268 TRX"
